"term","Estimate","Std..Error","t.value","Pr...t..","Std_Beta"
"(Intercept)",12.6232998047499,4.96521842009417,2.54234531831744,0.0127010662291777,NA
"SACS_Centering",1.17295406826743,0.164252635485907,7.14115828216389,2.20506680897278e-10,0.587164485370389
"SACS_Transcending",0.365394595958507,0.144340347380969,2.5314792612636,0.0130740196064005,0.211972095596262
"Age_clean",-0.0583674387701375,0.0765746979270074,-0.762228782486019,0.447894628365889,-0.0589538823940847
"Gender_labelNon-Binary",-0.978860721602057,5.57081198778761,-0.175712395921443,0.860910309482981,-0.0135789470886979
"Gender_labelWoman",1.64616840781167,1.6125611924262,1.02084089307328,0.310036100012617,0.0798314033835339
