"term","Estimate","Std..Error","t.value","Pr...t..","Std_Beta"
"(Intercept)",85.011982051648,8.38443573262172,10.1392609786354,2.1027365347461e-16,NA
"SACS_Centering",-1.6006509172478,0.273975764947641,-5.84230841568669,8.7407041819167e-08,-0.532196940088921
"SACS_Transcending",-0.447879068083605,0.241497483573141,-1.85459103530558,0.0670422954135895,-0.171004790798861
"Age_clean",-0.120598187402411,0.127359642601865,-0.946910535697785,0.346307056173121,-0.0795586065125575
"Gender_labelNon-Binary",-6.19411554492106,8.92987755355137,-0.693639471289021,0.4897561796541,-0.0584096939884197
"Gender_labelWoman",-2.68498296398948,2.65330407201432,-1.01193941256462,0.314373136405352,-0.0864130630125536
