"term","Estimate","Std..Error","t.value","Pr...t..","Std_Beta"
"(Intercept)",52.9797017764837,5.62943473761094,9.41119388462219,4.79365510754145e-15,NA
"SACS_Centering",-1.1164615822205,0.184269969682851,-6.05883630491747,3.13491451760552e-08,-0.555756793273768
"SACS_Transcending",0.0173276033546549,0.163521388270762,0.105965363539866,0.915845661681093,0.00980442282880248
"Age_clean",-0.204610789024055,0.0845010778551738,-2.42139856931455,0.01746735899024,-0.205281981348439
"Gender_labelNon-Binary",-2.01226476212842,6.11834957123455,-0.328890126119811,0.743002821509939,-0.0279600588637282
"Gender_labelWoman",-1.44178532193983,1.78961384282801,-0.805640461330737,0.422573663489204,-0.0695818801745142
