"lhs","op","rhs","label","est","std.lv","std.all"
"SACS_10","|","t6","",0.766172350384614,0.766172350384614,0.420890679851736
"SACS_1","~~","SACS_1","",1,1,0.458409156120028
"SACS_2","~~","SACS_2","",1,1,0.401837358588598
"SACS_5","~~","SACS_5","",1,1,0.626105046361079
"SACS_6","~~","SACS_6","",1,1,0.66730274452458
"SACS_3","~~","SACS_3","",1,1,0.72462187266824
"SACS_4","~~","SACS_4","",1,1,0.202102963831291
"SACS_7","~~","SACS_7","",1,1,0.243888163984501
"SACS_8","~~","SACS_8","",1,1,0.113472111691028
"SACS_9","~~","SACS_9","",1,1,0.586717519194152
"SACS_10","~~","SACS_10","",1,1,0.301776673899777
"CFQ_Total","~~","CFQ_Total","",53.0962221750774,53.0962221750774,0.473344140397053
"ATQ_Believability","~~","ATQ_Believability","",77.0335639727735,77.0335639727735,0.296951854868319
"DASS_Total_x2","~~","DASS_Total_x2","",152.701837535677,152.701837535677,0.277162411379178
"WEMWBS_Total","~~","WEMWBS_Total","",28.3407282831299,28.3407282831299,0.218004669457546
"SAC_Center","~~","SAC_Center","",1.18145729998936,1,1
"SAC_Trans","~~","SAC_Trans","",0.380030106347394,0.999999999999999,0.999999999999999
"DASS_Total_x2","~~","WEMWBS_Total","",-10.5290716366208,-10.5290716366208,-0.160052493961958
"SACS_1","~*~","SACS_1","",0.677059196909715,0.677059196909715,1
"SACS_2","~*~","SACS_2","",0.633906427312895,0.633906427312895,1
"SACS_5","~*~","SACS_5","",0.791267999075585,0.791267999075585,1
"SACS_6","~*~","SACS_6","",0.816886004608097,0.816886004608097,1
"SACS_3","~*~","SACS_3","",0.851247245321969,0.851247245321969,1
"SACS_4","~*~","SACS_4","",0.44955863225089,0.44955863225089,1
"SACS_7","~*~","SACS_7","",0.493850345736946,0.493850345736946,1
"SACS_8","~*~","SACS_8","",0.336856218127302,0.336856218127302,1
"SACS_9","~*~","SACS_9","",0.765974881568679,0.765974881568679,1
"SACS_10","~*~","SACS_10","",0.549342037258917,0.549342037258917,1
"SACS_1","~1","","",0,0,0
"SACS_2","~1","","",0,0,0
"SACS_5","~1","","",0,0,0
"SACS_6","~1","","",0,0,0
"SACS_3","~1","","",0,0,0
"SACS_4","~1","","",0,0,0
"SACS_7","~1","","",0,0,0
"SACS_8","~1","","",0,0,0
"SACS_9","~1","","",0,0,0
"SACS_10","~1","","",0,0,0
"CFQ_Total","~1","","",26.2411966855643,26.2411966855643,2.47765211906832
"ATQ_Believability","~1","","",37.242636883785,37.242636883785,2.31229610880681
"DASS_Total_x2","~1","","",-0.301480192436844,-0.301480192436844,-0.0128441041291641
"WEMWBS_Total","~1","","",28.8639896301776,28.8639896301776,2.5315339419292
"SAC_Center","~1","","",0,0,0
"SAC_Trans","~1","","",0,0,0
"ind_cfq_dass_c",":=","a_c*b1","ind_cfq_dass_c",-4.97492666856492,-5.40748967120673,-0.230377856180082
"ind_cfq_dass_t",":=","a_t*b1","ind_cfq_dass_t",0.658439620421945,0.405905520053475,0.0172929860632934
"ind_atq_dass_c",":=","g_c*b2","ind_atq_dass_c",-6.55909313271146,-7.12939722141704,-0.303737103090899
"ind_atq_dass_t",":=","g_t*b2","ind_atq_dass_t",0.178297620369757,0.109914388617905,0.0046827350125084
"ind_cfq_well_c",":=","a_c*d1","ind_cfq_well_c",-2.7363899932003,-2.97431532370557,-0.260864152614874
"ind_cfq_well_t",":=","a_t*d1","ind_cfq_well_t",0.362165657603342,0.223262748831531,0.0195813965386308
"ind_atq_well_c",":=","g_c*d2","ind_atq_well_c",-1.49401069062737,-1.62391285670355,-0.142426274681798
"ind_atq_well_t",":=","g_t*d2","ind_atq_well_t",0.0406121007212652,0.0250359719440417,0.00219579529918016
"ind_total_dass_c",":=","ind_cfq_dass_c+ind_atq_dass_c","ind_total_dass_c",-11.5340198012764,-12.5368868926238,-0.534114959270981
"ind_total_dass_t",":=","ind_cfq_dass_t+ind_atq_dass_t","ind_total_dass_t",0.836737240791702,0.51581990867138,0.0219757210758018
"ind_total_well_c",":=","ind_cfq_well_c+ind_atq_well_c","ind_total_well_c",-4.23040068382767,-4.59822818040912,-0.403290427296672
"ind_total_well_t",":=","ind_cfq_well_t+ind_atq_well_t","ind_total_well_t",0.402777758324607,0.248298720775573,0.021777191837811
