"Model","ChiSq","df","pvalue","CFI","TLI","RMSEA","SRMR"
"Two-factor",109.833242251543,34,6.45585140901517e-10,0.9709583306368,0.96156249643106,0.149344885348865,0.104905710222516
"One-factor",304.419907159526,35,0,0.896820924027684,0.867341188035594,0.277447501937381,0.176227799195313
