"SACS_1","SACS_2","SACS_3","SACS_4","SACS_5","SACS_6","SACS_7","SACS_8","SACS_9","SACS_10"
1,0.624590540387612,0.353723241037737,0.35768179753186,0.529964479824499,0.546971052979623,0.190902455119671,0.236108671121643,0.393878291166424,0.18012830193548
0.624590540387612,1,0.22710559943018,0.393630384435478,0.532852971075156,0.483731109187973,0.362607971480196,0.400167963004961,0.540899351386547,0.240385547150601
0.353723241037737,0.22710559943018,1,0.595870670221247,0.0189260098354074,0.0236287304957535,0.614622160184667,0.612630035615819,0.27082698776821,0.490040898426132
0.35768179753186,0.393630384435478,0.595870670221247,1,0.0505860027512141,0.185836768153367,0.643553533381049,0.751007278428426,0.345725388890913,0.55156003075031
0.529964479824499,0.532852971075156,0.0189260098354074,0.0505860027512141,1,0.631199555956925,0.178030924308592,0.0804779848830985,0.361277773877176,0.197533274749205
0.546971052979623,0.483731109187973,0.0236287304957535,0.185836768153367,0.631199555956925,1,0.24643171878522,0.099548584111963,0.409141282278909,0.293237789824001
0.190902455119671,0.362607971480196,0.614622160184667,0.643553533381049,0.178030924308592,0.24643171878522,1,0.73256130321574,0.45363525382003,0.622270018138124
0.236108671121643,0.400167963004961,0.612630035615819,0.751007278428426,0.0804779848830985,0.099548584111963,0.73256130321574,1,0.561958466794033,0.681626881527744
0.393878291166424,0.540899351386547,0.27082698776821,0.345725388890913,0.361277773877176,0.409141282278909,0.45363525382003,0.561958466794033,1,0.346362495676418
0.18012830193548,0.240385547150601,0.490040898426132,0.55156003075031,0.197533274749205,0.293237789824001,0.622270018138124,0.681626881527744,0.346362495676418,1
